iter:108, x:5.155, y:-0.074, z:-7.952, phi:0.207, theta:-0.519, psi:-0.336 
iter:109, x:5.155, y:-0.074, z:-7.952, phi:0.207, theta:-0.519, psi:-0.336 
iter:110, x:5.467, y:-0.064, z:-8.092, phi:0.216, theta:-0.512, psi:-0.381 
iter:111, x:5.467, y:-0.064, z:-8.092, phi:0.216, theta:-0.512, psi:-0.381 
iter:112, x:5.467, y:-0.064, z:-8.092, phi:0.216, theta:-0.512, psi:-0.381 
iter:113, x:5.952, y:-0.049, z:-8.296, phi:0.226, theta:-0.504, psi:-0.452 
iter:114, x:5.952, y:-0.049, z:-8.296, phi:0.226, theta:-0.504, psi:-0.452 
iter:115, x:6.284, y:-0.039, z:-8.425, phi:0.229, theta:-0.501, psi:-0.506 
iter:116, x:6.284, y:-0.039, z:-8.425, phi:0.229, theta:-0.501, psi:-0.506 
iter:117, x:6.284, y:-0.039, z:-8.425, phi:0.229, theta:-0.501, psi:-0.506 
iter:118, x:6.284, y:-0.039, z:-8.425, phi:0.229, theta:-0.501, psi:-0.506 
iter:119, x:6.284, y:-0.039, z:-8.425, phi:0.229, theta:-0.501, psi:-0.506 
iter:120, x:6.284, y:-0.039, z:-8.425, phi:0.229, theta:-0.501, psi:-0.506 
iter:121, x:6.284, y:-0.039, z:-8.425, phi:0.229, theta:-0.501, psi:-0.506 
iter:122, x:7.509, y:-0.009, z:-8.849, phi:0.240, theta:-0.488, psi:-0.715 
iter:123, x:7.509, y:-0.009, z:-8.849, phi:0.240, theta:-0.488, psi:-0.715 
iter:124, x:7.904, y:-0.004, z:-8.973, phi:0.241, theta:-0.483, psi:-0.783 
iter:125, x:7.904, y:-0.004, z:-8.973, phi:0.241, theta:-0.483, psi:-0.783 
iter:126, x:7.904, y:-0.004, z:-8.973, phi:0.241, theta:-0.483, psi:-0.783 
iter:127, x:8.474, y:-0.002, z:-9.143, phi:0.240, theta:-0.477, psi:-0.878 
iter:128, x:8.474, y:-0.002, z:-9.143, phi:0.240, theta:-0.477, psi:-0.878 
iter:129, x:8.474, y:-0.002, z:-9.143, phi:0.240, theta:-0.477, psi:-0.878 
iter:130, x:8.474, y:-0.002, z:-9.143, phi:0.240, theta:-0.477, psi:-0.878 
iter:131, x:9.260, y:-0.012, z:-9.362, phi:0.235, theta:-0.475, psi:-1.012 
iter:132, x:9.260, y:-0.012, z:-9.362, phi:0.235, theta:-0.475, psi:-1.012 
iter:133, x:9.260, y:-0.012, z:-9.362, phi:0.235, theta:-0.475, psi:-1.012 
iter:134, x:9.260, y:-0.012, z:-9.362, phi:0.235, theta:-0.475, psi:-1.012 
iter:135, x:9.260, y:-0.012, z:-9.362, phi:0.235, theta:-0.475, psi:-1.012 
iter:136, x:9.260, y:-0.012, z:-9.362, phi:0.235, theta:-0.475, psi:-1.012 
iter:137, x:9.260, y:-0.012, z:-9.362, phi:0.235, theta:-0.475, psi:-1.012 
iter:138, x:9.260, y:-0.012, z:-9.362, phi:0.235, theta:-0.475, psi:-1.012 
iter:139, x:9.260, y:-0.012, z:-9.362, phi:0.235, theta:-0.475, psi:-1.012 
iter:140, x:9.260, y:-0.012, z:-9.362, phi:0.235, theta:-0.475, psi:-1.012 
iter:141, x:11.349, y:-0.134, z:-9.888, phi:0.222, theta:-0.482, psi:-1.375 
iter:142, x:11.597, y:-0.160, z:-9.949, phi:0.221, theta:-0.482, psi:-1.418 
iter:143, x:11.597, y:-0.160, z:-9.949, phi:0.221, theta:-0.482, psi:-1.418 
iter:144, x:11.597, y:-0.160, z:-9.949, phi:0.221, theta:-0.482, psi:-1.418 
iter:145, x:11.597, y:-0.160, z:-9.949, phi:0.221, theta:-0.482, psi:-1.418 
iter:146, x:11.597, y:-0.160, z:-9.949, phi:0.221, theta:-0.482, psi:-1.418 
iter:147, x:11.597, y:-0.160, z:-9.949, phi:0.221, theta:-0.482, psi:-1.418 
iter:148, x:12.924, y:-0.342, z:-10.268, phi:0.205, theta:-0.430, psi:-1.637 
iter:149, x:13.148, y:-0.381, z:-10.323, phi:0.200, theta:-0.411, psi:-1.671 
iter:150, x:13.148, y:-0.381, z:-10.323, phi:0.200, theta:-0.411, psi:-1.671 
iter:151, x:13.148, y:-0.381, z:-10.323, phi:0.200, theta:-0.411, psi:-1.671 
iter:152, x:13.148, y:-0.381, z:-10.323, phi:0.200, theta:-0.411, psi:-1.671 
iter:153, x:13.148, y:-0.381, z:-10.323, phi:0.200, theta:-0.411, psi:-1.671 
iter:154, x:13.148, y:-0.381, z:-10.323, phi:0.200, theta:-0.411, psi:-1.671 
iter:155, x:14.502, y:-0.657, z:-10.672, phi:0.157, theta:-0.248, psi:-1.865 
iter:156, x:14.502, y:-0.657, z:-10.672, phi:0.157, theta:-0.248, psi:-1.865 
iter:157, x:14.502, y:-0.657, z:-10.672, phi:0.157, theta:-0.248, psi:-1.865 
iter:158, x:14.502, y:-0.657, z:-10.672, phi:0.157, theta:-0.248, psi:-1.865 
iter:159, x:14.502, y:-0.657, z:-10.672, phi:0.157, theta:-0.248, psi:-1.865 
iter:160, x:14.502, y:-0.657, z:-10.672, phi:0.157, theta:-0.248, psi:-1.865 
iter:161, x:14.502, y:-0.657, z:-10.672, phi:0.157, theta:-0.248, psi:-1.865 
iter:162, x:14.502, y:-0.657, z:-10.672, phi:0.157, theta:-0.248, psi:-1.865 
iter:163, x:14.502, y:-0.657, z:-10.672, phi:0.157, theta:-0.248, psi:-1.865 
iter:164, x:14.502, y:-0.657, z:-10.672, phi:0.157, theta:-0.248, psi:-1.865 
iter:165, x:14.502, y:-0.657, z:-10.672, phi:0.157, theta:-0.248, psi:-1.865 
iter:166, x:14.502, y:-0.657, z:-10.672, phi:0.157, theta:-0.248, psi:-1.865 
iter:167, x:14.502, y:-0.657, z:-10.672, phi:0.157, theta:-0.248, psi:-1.865 
iter:168, x:14.502, y:-0.657, z:-10.672, phi:0.157, theta:-0.248, psi:-1.865 
iter:169, x:14.502, y:-0.657, z:-10.672, phi:0.157, theta:-0.248, psi:-1.865 
iter:170, x:17.898, y:-1.535, z:-11.766, phi:0.037, theta:-0.017, psi:-2.336 
iter:171, x:17.898, y:-1.535, z:-11.766, phi:0.037, theta:-0.017, psi:-2.336 
iter:172, x:17.898, y:-1.535, z:-11.766, phi:0.037, theta:-0.017, psi:-2.336 
iter:173, x:17.898, y:-1.535, z:-11.766, phi:0.037, theta:-0.017, psi:-2.336 
iter:174, x:18.798, y:-1.779, z:-12.100, phi:0.022, theta:-0.013, psi:-2.442 
iter:175, x:18.798, y:-1.779, z:-12.100, phi:0.022, theta:-0.013, psi:-2.442 
iter:176, x:18.798, y:-1.779, z:-12.100, phi:0.022, theta:-0.013, psi:-2.442 
iter:177, x:18.798, y:-1.779, z:-12.100, phi:0.022, theta:-0.013, psi:-2.442 
iter:178, x:18.798, y:-1.779, z:-12.100, phi:0.022, theta:-0.013, psi:-2.442 
iter:179, x:19.918, y:-2.086, z:-12.541, phi:0.010, theta:-0.007, psi:-2.556 
iter:180, x:19.918, y:-2.086, z:-12.541, phi:0.010, theta:-0.007, psi:-2.556 
iter:181, x:19.918, y:-2.086, z:-12.541, phi:0.010, theta:-0.007, psi:-2.556 
iter:182, x:19.918, y:-2.086, z:-12.541, phi:0.010, theta:-0.007, psi:-2.556 
