iter:99, x:4.216, y:-0.221, z:-8.714, phi:0.140, theta:0.542, psi:0.793 
iter:100, x:4.334, y:-0.233, z:-8.776, phi:0.142, theta:0.541, psi:0.828 
iter:101, x:4.455, y:-0.246, z:-8.839, phi:0.143, theta:0.540, psi:0.862 
iter:102, x:4.617, y:-0.266, z:-8.922, phi:0.145, theta:0.538, psi:0.907 
iter:103, x:4.762, y:-0.284, z:-8.995, phi:0.146, theta:0.537, psi:0.946 
iter:104, x:4.887, y:-0.301, z:-9.058, phi:0.147, theta:0.537, psi:0.980 
iter:105, x:5.035, y:-0.323, z:-9.130, phi:0.147, theta:0.536, psi:1.019 
iter:106, x:5.163, y:-0.343, z:-9.192, phi:0.148, theta:0.535, psi:1.052 
iter:107, x:5.336, y:-0.371, z:-9.274, phi:0.148, theta:0.535, psi:1.096 
iter:108, x:5.446, y:-0.390, z:-9.325, phi:0.148, theta:0.534, psi:1.123 
iter:109, x:5.622, y:-0.423, z:-9.406, phi:0.147, theta:0.534, psi:1.165 
iter:110, x:5.778, y:-0.453, z:-9.477, phi:0.146, theta:0.534, psi:1.202 
iter:111, x:5.913, y:-0.480, z:-9.537, phi:0.145, theta:0.534, psi:1.233 
iter:112, x:6.049, y:-0.509, z:-9.597, phi:0.144, theta:0.534, psi:1.263 
iter:113, x:6.231, y:-0.550, z:-9.676, phi:0.143, theta:0.534, psi:1.302 
iter:114, x:6.369, y:-0.583, z:-9.736, phi:0.141, theta:0.535, psi:1.331 
iter:115, x:6.507, y:-0.617, z:-9.795, phi:0.140, theta:0.535, psi:1.360 
iter:116, x:6.693, y:-0.665, z:-9.873, phi:0.137, theta:0.536, psi:1.396 
iter:117, x:6.833, y:-0.702, z:-9.931, phi:0.136, theta:0.537, psi:1.423 
iter:118, x:6.998, y:-0.749, z:-9.999, phi:0.134, theta:0.537, psi:1.454 
iter:119, x:7.186, y:-0.805, z:-10.077, phi:0.131, theta:0.538, psi:1.488 
iter:120, x:7.305, y:-0.841, z:-10.125, phi:0.129, theta:0.539, psi:1.509 
iter:121, x:7.495, y:-0.902, z:-10.202, phi:0.127, theta:0.540, psi:1.541 
iter:122, x:7.614, y:-0.942, z:-10.250, phi:0.124, theta:0.541, psi:1.565 
iter:123, x:7.806, y:-1.009, z:-10.327, phi:0.122, theta:0.542, psi:1.592 
iter:124, x:7.926, y:-1.052, z:-10.376, phi:0.120, theta:0.542, psi:1.615 
iter:125, x:8.118, y:-1.124, z:-10.453, phi:0.117, theta:0.543, psi:1.641 
iter:126, x:8.238, y:-1.171, z:-10.501, phi:0.115, theta:0.544, psi:1.662 
iter:127, x:8.431, y:-1.249, z:-10.578, phi:0.113, theta:0.545, psi:1.687 
iter:128, x:8.623, y:-1.330, z:-10.656, phi:0.110, theta:0.546, psi:1.714 
iter:129, x:8.744, y:-1.382, z:-10.704, phi:0.108, theta:0.547, psi:1.730 
iter:130, x:8.937, y:-1.470, z:-10.782, phi:0.105, theta:0.548, psi:1.756 
iter:131, x:9.057, y:-1.526, z:-10.831, phi:0.104, theta:0.549, psi:1.772 
iter:132, x:9.249, y:-1.619, z:-10.909, phi:0.101, theta:0.550, psi:1.796 
iter:133, x:9.441, y:-1.716, z:-10.988, phi:0.098, theta:0.551, psi:1.820 
iter:134, x:9.561, y:-1.778, z:-11.037, phi:0.096, theta:0.552, psi:1.834 
